,src_name,popularity,relevance_query,score_rank,score_mean
940,bookbeo,0.044444444444444446,0.0,0.9200367647058822,0.3769035947712418
3466,investir.lesechos,0.044444444444444446,0.0,0.9200367647058822,0.3769035947712418
3745,korii.slate,0.06666666666666667,0.16666666666666669,0.7420763485923061,0.37683053943692246
2193,econostrum.info,0.044444444444444446,0.125,0.7944444444444445,0.3766666666666667
2838,geekflare,0.06666666666666667,0.16666666666666669,0.7415479885024364,0.3766191954009746
2770,freelance-informatique,0.15555555555555556,0.21428571428571427,0.6490286505596902,0.37643685704927293
3515,isita.mx,0.044444444444444446,0.0,0.918492594846825,0.3762859268276189
2105,dummies,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
1792,databricks,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
6253,touleco,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
4767,observatoire-metiers-banque,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
1339,chargepoint,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
3239,idf.direccte.gouv,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
1707,cs.univ-batna2.dz,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
2494,europeanjobdays,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
6003,sudouest-marchespublics,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
3570,jasoren,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
1392,cipherbliss,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
1360,childrobot,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
4367,mediatheques.agglo-pau,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
5496,rezopole,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
852,blog.ibabs,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
1351,chateauroux-metropole,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
2993,groupelaposte,0.022222222222222223,0.25,0.6791044776119403,0.37608623548922054
6521,vigilance-plan,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
5813,sithholocron,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
1661,cpformation,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
3430,intdv,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
884,blog.wan2bee,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
6339,uamshealth,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
3742,komunity-web,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
685,axiocode,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
112,acemis,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
4148,lycee-jean-lurcat,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
5330,questia,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
1197,cc-thann-cernay,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
1316,cgtrader,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
6493,vbcamisetas.br,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
3674,jumio,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
535,archivesic.ccsd.cnrs,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
4472,mlab.mcq,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
5820,skilleos,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
6246,topsconsult,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
6652,welcome.univ-lyon2,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
4317,martelange.be,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
3909,ledroitpourmoi,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
366,altays,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
6667,wiki.gccollab.ca,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
3496,irma.asso,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
6662,whiskeyginger.co.uk,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
1042,ca.indeed,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
3729,knime,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
1591,consultations-publiques.developpement-durable.gouv,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
2851,genie-electrique.insa-strasbourg,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
418,andrh,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
1814,datastory,0.022222222222222223,0.0,0.9285714285714286,0.37587301587301586
